Quality;Description;n
145.1969471509598;['Genital_thrush == False'];404
137.1804077221936;['Alopecia == False', 'Genital_thrush == False'];286
127.5593953737617;['Irritability == False', 'Genital_thrush == False'];321
127.02811243311324;['Obesity == False', 'Genital_thrush == False'];340
120.77319873614653;['Age <= 47.5', 'Genital_thrush == False'];203
116.79989739240034;['Irritability == False'];394
115.89558363776352;['Alopecia == False'];341
112.54935731224141;['Alopecia == False', 'Irritability == False'];263
107.35707731833715;['Obesity == False', 'Irritability == False'];338
106.96795417466038;['Age > 37.0', 'Genital_thrush == False'];305
105.55125469134943;['Obesity == False'];432
102.96336558128303;['Age <= 47.5'];260
97.41794789772457;['Age <= 47.5', 'Irritability == False'];215
96.7300575459303;['Age <= 47.5', 'Obesity == False'];224
94.7356328571658;['Obesity == False', 'Alopecia == False'];286
94.65182205160157;['Age <= 47.5', 'Alopecia == False'];197
92.92869119540435;['visual_blurring == False', 'Genital_thrush == False'];207
90.08001428153266;['delayed_healing == False', 'Genital_thrush == False'];233
89.00670249472867;['Age > 37.0'];412
88.21276069036442;['Age > 39.0', 'Genital_thrush == False'];281
86.74170544142885;['delayed_healing == False', 'Irritability == False'];227
84.2620560720233;['Age <= 42.0', 'Genital_thrush == False'];155
83.17949278156857;['Age > 37.0', 'Irritability == False'];296
81.94375159011331;['delayed_healing == False', 'Alopecia == False'];220
81.81290976180648;['Polyuria == False', 'Alopecia == False'];154
80.6883765117872;['Age > 37.0', 'Alopecia == False'];247
79.62483252841201;['Age > 39.0', 'Irritability == False'];275
79.32551107791403;['Itching == False', 'Alopecia == False'];208
76.60668281769995;['muscle_stiffness == False', 'Genital_thrush == False'];242
76.40050042352681;['Age <= 42.0', 'Alopecia == False'];154
75.91426312010896;['Age > 37.0', 'Obesity == False'];327
75.72574851206562;['Age > 39.0'];376
75.65980081668525;['Itching == True', 'Genital_thrush == False'];183
75.44069582163192;['delayed_healing == False'];281
74.27772699412455;['Itching == False', 'Irritability == False'];215
74.0324362258626;['weakness == False', 'Genital_thrush == False'];170
73.75692276720707;['muscle_stiffness == True', 'Obesity == False'];147
