Quality;Description;n
13.481696030162368;['wwork == False'];1104
10.09895106457456;['heducation == 4.0'];899
8.321978958556544;['heducation == 4.0', 'wwork == True'];227
8.321978958556544;['wwork == True', 'heducation == 4.0'];227
8.146726858855633;['wwork == True'];369
6.447042982721062;['wwork == False', 'heducation == 4.0'];672
6.447042982721062;['heducation == 4.0', 'wwork == False'];672
5.5775421428052185;['weducation == 2.0', 'heducation == 4.0'];104
5.075873345041825;['wage == 26.0', 'weducation == 4.0'];24
4.682979075569581;['heducation == 4.0', 'weducation == 3.0'];229
