Quality;Description;n
20.673635434874406;['weakness == True', 'Polyuria == True'];185
19.83056835327848;['partial_paresis == False', 'Polyuria == True'];90
17.89229685145814;['muscle_stiffness == False', 'Polyuria == True'];142
17.689763139851053;['sudden_weight_loss == True', 'visual_blurring == False'];111
17.115592079767563;['Polyuria == True', 'visual_blurring == False'];112
16.018349968404817;['Age <= 42.0', 'sudden_weight_loss == False'];114
15.264471281271302;['Polyphagia == False', 'Polyuria == True'];92
14.839568372552911;['delayed_healing == True', 'Polyuria == True'];138
14.601993030041392;['Age <= 39.0', 'partial_paresis == False'];101
14.580459701916855;['muscle_stiffness == True', 'delayed_healing == False'];74
13.949945747287632;['Age <= 47.5', 'Polyuria == True'];99
13.20712182001391;['Age <= 39.0', 'IsFemale == False'];81
13.07883980279067;['Age <= 39.0', 'sudden_weight_loss == False'];99
13.010793358723397;['weakness == True', 'delayed_healing == False'];122
12.944829475311106;['IsFemale == False', 'muscle_stiffness == True'];112
12.457082256754173;['Age <= 39.0', 'Polyphagia == False'];102
12.172713955780283;['partial_paresis == False', 'delayed_healing == False'];184
12.097342492885243;['Age <= 39.0', 'weakness == False'];90
12.02794233720925;['sudden_weight_loss == False', 'Genital_thrush == True'];58
11.774075545463134;['Irritability == True', 'Polyuria == True'];89
11.690710286021913;['Age <= 39.0', 'Alopecia == False'];126
11.279451751726288;['Irritability == False', 'delayed_healing == False'];227
11.044399310660573;['sudden_weight_loss == True', 'Polyuria == True'];165
10.996788215514638;['Age <= 39.0', 'Polydipsia == False'];91
10.745575951006078;['Polyuria == False', 'IsFemale == False'];199
10.721505826939612;['muscle_stiffness == True', 'partial_paresis == True'];113
10.715671168825137;['Age <= 39.0', 'visual_blurring == False'];112
10.287383642569688;['Genital_thrush == True', 'Polyuria == True'];67
10.09792815842017;['visual_blurring == True', 'delayed_healing == False'];103
10.017869466702551;['Irritability == False', 'muscle_stiffness == True'];126
9.929455385206998;['delayed_healing == False'];281
9.902794219680754;['Age <= 39.0'];144
9.788052342748196;['Alopecia == True', 'partial_paresis == True'];50
9.5447060895728;['muscle_stiffness == False', 'sudden_weight_loss == True'];122
9.42662007445016;['muscle_stiffness == False', 'partial_paresis == True'];111
9.351733816848416;['Irritability == True', 'partial_paresis == True'];71
9.215419279843376;['Age > 37.0', 'muscle_stiffness == True'];175
9.019591902278414;['visual_blurring == True', 'partial_paresis == True'];147
8.980303106799536;['Genital_thrush == True', 'delayed_healing == False'];48
8.892829829668791;['Age <= 39.0', 'delayed_healing == False'];101
8.788500632865972;['Age <= 47.5', 'sudden_weight_loss == True'];93
8.785152684084007;['sudden_weight_loss == False', 'IsFemale == False'];226
8.705809300685141;['Age > 42.0', 'muscle_stiffness == True'];147
8.669523687921416;['Age > 47.5', 'muscle_stiffness == True'];128
8.646723070848342;['Polyuria == True', 'Itching == True'];137
8.58591853712733;['Age <= 47.5', 'sudden_weight_loss == False'];167
8.548613045092955;['Alopecia == True', 'muscle_stiffness == True'];72
8.40149937972455;['weakness == True', 'partial_paresis == True'];166
8.371072755757915;['Polyuria == False', 'Alopecia == True'];108
8.361567849126452;['IsFemale == False', 'Polyuria == True'];129
8.321783277982846;['Age <= 39.0', 'Irritability == False'];119
8.241111158499795;['Age > 39.0', 'muscle_stiffness == True'];163
8.186625604012352;['Polyphagia == True', 'delayed_healing == False'];94
8.113100841533122;['sudden_weight_loss == True', 'Polydipsia == False'];68
8.085122158310082;['Alopecia == True', 'delayed_healing == False'];61
8.07521979874034;['Age <= 42.0', 'sudden_weight_loss == True'];67
8.043477296408007;['Genital_thrush == True', 'weakness == False'];45
7.999836355832936;['muscle_stiffness == True', 'IsFemale == True'];83
7.854429540369581;['Polyuria == True', 'Polydipsia == False'];65
7.726637874096585;['Age <= 39.0', 'Polyuria == False'];83
7.697170851228833;['Polyuria == True'];258
7.692313305025993;['Polyuria == False', 'Genital_thrush == True'];49
7.4373180697543315;['weakness == True', 'Itching == False'];117
7.310918188187859;['sudden_weight_loss == False', 'visual_blurring == False'];176
7.304945704438442;['Polyphagia == True', 'Itching == False'];103
7.285389603465678;['Genital_thrush == False', 'Irritability == True'];83
6.984369995453441;['Itching == False', 'muscle_stiffness == True'];73
6.980131245112111;['visual_blurring == True', 'Irritability == False'];168
6.86639640124515;['Age > 42.0', 'Irritability == True'];93
6.702445863129504;['Age <= 42.0', 'IsFemale == False'];107
6.656579606983401;['Age > 39.0', 'Alopecia == True'];161
6.649680707462367;['Age <= 39.0', 'Itching == False'];103
6.475602514848111;['muscle_stiffness == True', 'weakness == False'];48
6.4491897672906795;['muscle_stiffness == True'];195
6.383836185030707;['sudden_weight_loss == True', 'weakness == False'];54
6.297352824188609;['Alopecia == False', 'partial_paresis == False'];167
6.247237299858371;['Itching == False', 'Irritability == False'];215
6.190053823454141;['delayed_healing == False', 'Itching == True'];78
6.068389572816856;['Age > 37.0', 'Polyuria == True'];222
6.055297762157521;['Irritability == True', 'weakness == False'];36
6.009931437550282;['Age > 37.0', 'Irritability == True'];116
5.93330627554721;['partial_paresis == False', 'weakness == False'];157
5.915668321689692;['Age > 42.0', 'Alopecia == True'];152
5.889401916354521;['Alopecia == False', 'delayed_healing == False'];220
5.830780958044506;['Age > 39.0', 'Polyuria == True'];197
5.825256221581109;['Age <= 37.0', 'partial_paresis == False'];82
5.626730867123577;['sudden_weight_loss == False', 'Polyphagia == False'];196
5.624953745513005;['Polyphagia == True', 'muscle_stiffness == True'];129
5.594667715446883;['Age > 42.0', 'Polyuria == True'];181
5.593846329956696;['sudden_weight_loss == False', 'Polyuria == False'];210
5.593447353702938;['Age > 37.0', 'Alopecia == True'];165
5.549986409835254;['visual_blurring == True', 'IsFemale == False'];121
5.504395797793672;['Alopecia == True', 'Polyuria == True'];71
5.417847589094806;['muscle_stiffness == False', 'Irritability == True'];57
5.393521448711659;['Polyphagia == True', 'partial_paresis == True'];150
5.369667326566336;['muscle_stiffness == False', 'delayed_healing == True'];118
5.316369809240557;['muscle_stiffness == False', 'visual_blurring == False'];231
5.204452265884128;['Irritability == True'];126
5.113564835387528;['visual_blurring == True', 'Itching == False'];82
5.069326075342666;['Age <= 37.0', 'Polyuria == False'];72
5.032946333175893;['Alopecia == True', 'Itching == True'];120
5.03236005327522;['muscle_stiffness == True', 'visual_blurring == False'];56
5.010897647456671;['sudden_weight_loss == False', 'partial_paresis == False'];206
4.984853300706005;['visual_blurring == True', 'sudden_weight_loss == True'];106
4.948936585775761;['Age <= 37.0', 'IsFemale == False'];63
4.924371917097503;['IsFemale == False', 'delayed_healing == False'];190
4.897999439472011;['Age <= 42.0', 'partial_paresis == False'];124
4.870155387732343;['Age > 37.0', 'sudden_weight_loss == True'];188
4.820942704893476;['Alopecia == True', 'IsFemale == False'];152
4.818669347549177;['Polydipsia == True', 'muscle_stiffness == True'];110
4.808867872183949;['IsFemale == False', 'Itching == True'];153
4.804208914637639;['Age > 42.0', 'Irritability == False'];246
4.776118360205672;['Age > 39.0', 'Irritability == True'];101
4.738574345816405;['Genital_thrush == True', 'Itching == False'];46
4.731023522173089;['visual_blurring == True', 'Alopecia == True'];82
4.721320930739807;['IsFemale == False', 'Irritability == True'];78
4.682696815558323;['weakness == True', 'Irritability == False'];215
4.669929819281127;['Polyuria == False', 'weakness == True'];120
4.66721056564027;['Age <= 37.0', 'Alopecia == False'];94
4.614504881411042;['Genital_thrush == False', 'muscle_stiffness == True'];162
4.614304564593713;['partial_paresis == False'];296
4.581963481241498;['Polyphagia == False', 'sudden_weight_loss == True'];87
4.581266550437559;['Age <= 39.0', 'muscle_stiffness == False'];112
4.578314467717972;['Age > 39.0', 'visual_blurring == True'];201
4.448381814605055;['Age <= 37.0', 'Polydipsia == False'];77
4.4413015254462;['Polydipsia == True', 'visual_blurring == True'];147
4.397746748068611;['Genital_thrush == False', 'delayed_healing == False'];233
4.395361884420563;['Polydipsia == True', 'visual_blurring == False'];86
4.382160857289631;['Age <= 47.5', 'partial_paresis == False'];181
4.3620849438913485;['Irritability == False'];394
4.3397717165183565;['Itching == False'];267
4.336935217902349;['Age <= 47.5', 'partial_paresis == True'];79
4.3266522739875235;['weakness == True', 'Alopecia == True'];116
4.303930169438887;['Alopecia == False', 'Genital_thrush == True'];55
4.297443732440209;['sudden_weight_loss == True', 'IsFemale == False'];102
4.264276525175191;['Irritability == False', 'partial_paresis == True'];153
4.2156601920220975;['IsFemale == False', 'Irritability == False'];250
4.198156423431629;['Polyphagia == True', 'visual_blurring == True'];144
4.191876506428764;['IsFemale == False', 'partial_paresis == False'];228
4.153964026361115;['Alopecia == False', 'partial_paresis == True'];174
4.113135913896436;['Itching == False', 'delayed_healing == False'];203
4.0851261072334895;['sudden_weight_loss == False', 'Polyuria == True'];93
4.078830203847616;['Age > 37.0', 'visual_blurring == True'];210
4.037531096253224;['Genital_thrush == False', 'weakness == True'];234
4.029675962685472;['Genital_thrush == False', 'Irritability == False'];321
4.0125427123507516;['Age <= 47.5', 'IsFemale == False'];166
4.003450515616672;['Age <= 37.0', 'weakness == False'];69
3.9964897880652277;['partial_paresis == False', 'muscle_stiffness == True'];82
3.9876134826931735;['sudden_weight_loss == True', 'muscle_stiffness == True'];95
3.970829719575981;['Polyphagia == False', 'delayed_healing == False'];187
3.947137680360571;['Alopecia == True', 'Itching == False'];59
3.9340941368870004;['Itching == False', 'partial_paresis == False'];167
3.9111040215544612;['Age <= 37.0'];108
3.904034700689971;['Age > 39.0', 'weakness == True'];251
3.8920869203495423;['muscle_stiffness == False', 'Polydipsia == True'];123
3.889588682932807;['visual_blurring == True', 'muscle_stiffness == True'];139
3.884193280946783;['Age > 42.0', 'delayed_healing == False'];152
3.8784444774957736;['Alopecia == False', 'sudden_weight_loss == True'];167
3.823746811522261;['Age > 47.5', 'Alopecia == True'];116
3.8058205709717017;['Age > 42.0', 'visual_blurring == True'];187
3.7998827317686237;['Age <= 39.0', 'Genital_thrush == False'];123
3.758012989218861;['Age > 47.5', 'partial_paresis == True'];145
3.7570868824979167;['Alopecia == False', 'muscle_stiffness == True'];123
3.7441803946304306;['delayed_healing == True', 'partial_paresis == True'];127
3.6898477596227024;['Age <= 37.0', 'Polyphagia == False'];84
3.646712044241508;['Age > 39.0', 'sudden_weight_loss == True'];172
3.6373324243537417;['delayed_healing == False', 'IsFemale == True'];91
3.618307461647286;['Age <= 37.0', 'visual_blurring == False'];85
3.5896411123314;['Itching == False', 'IsFemale == True'];92
3.5614915353500383;['sudden_weight_loss == False', 'Irritability == True'];58
3.543468473086838;['IsFemale == False'];328
3.54308293262154;['sudden_weight_loss == False', 'muscle_stiffness == True'];100
3.5299831611473422;['Age <= 37.0', 'muscle_stiffness == False'];88
3.5058930507147963;['Age > 37.0', 'delayed_healing == False'];199
3.4892390080789655;['delayed_healing == True', 'sudden_weight_loss == True'];111
3.4715185353179434;['weakness == True', 'IsFemale == False'];177
3.441307829605602;['Age <= 37.0', 'sudden_weight_loss == False'];79
3.437287478020977;['delayed_healing == True', 'Irritability == True'];72
3.4167008895565667;['sudden_weight_loss == False', 'delayed_healing == False'];175
3.381659719948466;['Alopecia == True', 'Irritability == False'];131
3.366261926628691;['Polyphagia == False', 'partial_paresis == False'];209
3.3441431670341797;['muscle_stiffness == False', 'IsFemale == True'];109
