Quality;Description;n
251.75992394760473;"[""safety != 'low'""]";1152
251.75992394760473;"[""persons != '2'""]";1152
227.7639397587842;"[""maint != 'vhigh'""]";1296
193.82173308943078;"[""maint != 'high'""]";1296
191.76664509806798;"[""lug_boot != 'small'""]";1152
187.60032561665037;"[""doors != '2'""]";1296
181.1218646229701;"[""maint != 'low'""]";1296
173.07916398103904;"[""doors != '3'""]";1296
172.11621213035457;"[""safety == 'high'""]";576
167.9921053285998;"[""maint != 'med'""]";1296
166.43828358587197;"[""doors != '5more'""]";1296
166.43828358587197;"[""doors != '4'""]";1296
158.41486018882316;"[""safety != 'med'""]";1152
147.08381800282262;"[""lug_boot != 'med'""]";1152
132.50631490135908;"[""maint == 'low'""]";432
130.1097750767437;"[""lug_boot != 'big'""]";1152
128.23164584964317;"[""persons == '4'""]";576
124.20906255817442;"[""persons == 'more'""]";576
121.66836136325674;"[""maint == 'med'""]";432
114.31076375712811;"[""maint == 'vhigh'""]";432
112.09445702154507;"[""persons != 'more'""]";1152
112.09279211051776;"[""persons != '4'""]";1152
111.38893659963674;"[""maint == 'high'""]";432
109.60867584072528;"[""lug_boot == 'big'""]";576
99.18065028130175;"[""safety == 'med'""]";576
84.32248398116016;"[""safety != 'high'""]";1152
84.16391636829064;"[""lug_boot == 'med'""]";576
64.9430762506883;"[""doors == '5more'""]";432
64.9430762506883;"[""doors == '4'""]";432
58.13315881245559;"[""doors == '3'""]";432
52.222658997012104;"[""lug_boot == 'small'""]";576
44.331703198674525;"[""doors == '2'""]";432
0.0;"[""safety == 'low'""]";576
0.0;"[""persons == '2'""]";576
