Quality;Description;n
734.9977363278035;"[""persons != '2'""]";1152
571.7050591117107;"[""maint != 'vhigh'""]";1296
571.7050591117107;"[""buying != 'vhigh'""]";1296
525.319718940666;"[""lug_boot != 'small'""]";1152
519.0688889068649;"[""buying != 'high'""]";1296
511.2621255397907;"[""doors != '2'""]";1296
490.9495212604553;"[""maint != 'high'""]";1296
468.92002167380855;"[""doors != '3'""]";1296
453.13519486462275;"[""doors != '5more'""]";1296
453.13519486462275;"[""doors != '4'""]";1296
415.0615621989834;"[""maint != 'med'""]";1296
415.0615621989834;"[""buying != 'med'""]";1296
413.92936443373264;"[""maint != 'low'""]";1296
399.9471212887894;"[""lug_boot != 'med'""]";1152
391.64653103498;"[""buying != 'low'""]";1296
380.48192054865723;"[""persons == '4'""]";576
366.2787005904894;"[""lug_boot != 'big'""]";1152
358.04857006797755;"[""persons == 'more'""]";576
314.3081615482968;"[""lug_boot == 'big'""]";576
299.57100716662393;"[""persons != 'more'""]";1152
293.71550664390173;"[""persons != '4'""]";1152
257.5210293947236;"[""buying == 'low'""]";432
229.24577689025742;"[""lug_boot == 'med'""]";576
219.98371522334617;"[""maint == 'low'""]";432
219.6695634449002;"[""maint == 'med'""]";432
219.6695634449002;"[""buying == 'med'""]";432
176.74209296796238;"[""doors == '5more'""]";432
176.74209296796238;"[""doors == '4'""]";432
172.40430685579403;"[""lug_boot == 'small'""]";576
159.8608017818138;"[""doors == '3'""]";432
137.65438401539961;"[""maint == 'high'""]";432
121.59534701517904;"[""doors == '2'""]";432
118.26450099093472;"[""buying == 'high'""]";432
72.86364955215366;"[""maint == 'vhigh'""]";432
72.86364955215366;"[""buying == 'vhigh'""]";432
0.0;"[""persons == '2'""]";576
