Quality;Description;n
16.206895253327595;"[""sol == 'moderate-high'"", 'wismuslim == True']";386
15.773814133436046;['numborn <= 3.0', 'wismuslim == True'];756
14.455775012157549;['numborn <= 1.0', 'wismuslim == True'];317
13.665210193418668;['numborn <= 2.0', 'wismuslim == True'];552
13.100629113802864;"[""sol == 'moderate-high'""]";431
12.856743720524072;"[""sol == 'moderate-high'"", 'good_media_exposure == True']";409
12.093781429383238;['wage <= 28.0', 'wismuslim == True'];503
11.779412842112531;['numborn <= 1.0'];373
11.674001415183687;['wage <= 32.0', 'wismuslim == True'];704
11.233312301051312;['numborn <= 3.0'];908
10.981610732025313;['numborn <= 1.0', 'good_media_exposure == True'];358
10.981607277413753;"[""sol != 'high'"", 'wismuslim == True']";724
10.939123554665114;"[""sol != 'high'"", 'good_media_exposure == True']";698
10.733794844473872;"[""sol != 'high'""]";789
10.098194325871534;['wage <= 32.0'];780
9.568736272570106;['numborn <= 2.0'];649
9.530700490341607;"[""hocc != 'one'"", 'wismuslim == True']";889
9.309737120591635;['numborn <= 3.0', 'good_media_exposure == True'];860
9.301788970621718;"[""hocc == 'three'"", 'good_media_exposure == True']";531
9.296475335386711;"[""hocc == 'three'""]";585
9.036139106056957;['wage <= 28.0'];547
8.943581567427103;"[""sol == 'moderate-high'"", 'wismuslim == False']";45
8.931079246537308;['wage <= 32.0', 'good_media_exposure == True'];742
8.543771571283756;"[""hocc == 'three'"", 'wismuslim == True']";525
8.383052304191988;"[""heducation != 'low-moderate'"", 'wismuslim == True']";1083
8.323987681231651;"[""sol != 'low-moderate'"", 'wismuslim == True']";1039
8.208428279789063;['numborn <= 2.0', 'good_media_exposure == True'];619
8.059623256954083;"[""hocc != 'one'""]";1037
7.828327465667618;"[""hocc != 'one'"", 'good_media_exposure == True']";941
7.743859866941431;['wage <= 28.0', 'good_media_exposure == True'];521
7.192805535636651;"[""hocc != 'two'""]";1048
6.9064366358176725;"[""heducation == 'high'"", 'wismuslim == True']";716
6.785797601561454;['good_media_exposure == True', 'wismuslim == True'];1152
6.709972609300475;['wismuslim == True'];1253
6.679891584947376;"[""hocc != 'two'"", 'wismuslim == True']";914
6.492564830268254;"[""heducation != 'low'"", 'wismuslim == True']";1211
6.463070576127411;"[""hocc != 'two'"", 'good_media_exposure == True']";975
6.412363241659141;"[""weducation != 'low'"", 'wismuslim == True']";1104
6.278134154279087;"[""heducation != 'low-moderate'""]";1295
