Quality;Description;n
15.773814133436046;['numborn <= 3.0', 'wismuslim == True'];756
14.455775012157549;['numborn <= 1.0', 'wismuslim == True'];317
13.665210193418668;['numborn <= 2.0', 'wismuslim == True'];552
12.093781429383238;['wage <= 28.0', 'wismuslim == True'];503
11.779412842112531;['numborn <= 1.0'];373
11.674001415183687;['wage <= 32.0', 'wismuslim == True'];704
11.233312301051312;['numborn <= 3.0'];908
10.981610732025313;['numborn <= 1.0', 'good_media_exposure == True'];358
10.981607277413753;"[""sol != 'high'"", 'wismuslim == True']";724
10.939123554665114;"[""sol != 'high'"", 'good_media_exposure == True']";698
10.733794844473872;"[""sol != 'high'""]";789
10.098194325871534;['wage <= 32.0'];780
9.568736272570106;['numborn <= 2.0'];649
9.530700490341607;"[""hocc != 'one'"", 'wismuslim == True']";889
9.309737120591635;['numborn <= 3.0', 'good_media_exposure == True'];860
9.301788970621718;"[""hocc == 'three'"", 'good_media_exposure == True']";531
9.296475335386711;"[""hocc == 'three'""]";585
9.036139106056957;['wage <= 28.0'];547
8.931079246537308;['wage <= 32.0', 'good_media_exposure == True'];742
8.543771571283756;"[""hocc == 'three'"", 'wismuslim == True']";525
8.208428279789063;['numborn <= 2.0', 'good_media_exposure == True'];619
8.059623256954083;"[""hocc != 'one'""]";1037
7.828327465667618;"[""hocc != 'one'"", 'good_media_exposure == True']";941
7.743859866941431;['wage <= 28.0', 'good_media_exposure == True'];521
6.709972609300475;['wismuslim == True'];1253
6.492564830268254;"[""heducation != 'low'"", 'wismuslim == True']";1211
6.278134154279087;"[""heducation != 'low-moderate'""]";1295
6.264857895792867;"[""sol != 'low-moderate'"", 'good_media_exposure == True']";1175
5.986837577194624;"[""sol != 'low-moderate'""]";1244
5.331818773764014;"[""weducation == 'high'"", 'wismuslim == True']";434
5.308385244672292;['numborn <= 2.0', 'good_media_exposure == False'];30
5.306372154127782;"[""heducation != 'low-moderate'"", 'good_media_exposure == True']";1228
5.2439692690381285;"[""sol == 'low'"", 'good_media_exposure == True']";100
5.029700998011291;['good_media_exposure == True'];1364
4.96774404796012;['wage <= 25.0', 'wismuslim == True'];337
4.954495195265842;"[""heducation != 'low'""]";1429
4.761647742680065;['wage <= 25.0'];356
4.6951116402653845;"[""weducation != 'low'""]";1321
4.561056814746323;"[""heducation != 'low'"", 'good_media_exposure == True']";1334
4.457722849812296;"[""weducation != 'low-moderate'""]";1139
4.4201989595511355;['wage <= 26.0', 'wismuslim == True'];402
4.363962602467293;"[""weducation != 'low'"", 'good_media_exposure == True']";1269
4.319156421771573;['wage <= 25.0', 'good_media_exposure == True'];338
4.233788984188994;"[""sol != 'low'""]";1344
3.860100958910403;"[""weducation == 'high'""]";577
3.8527884425337406;"[""weducation != 'low-moderate'"", 'good_media_exposure == True']";1058
3.846258458690431;"[""heducation == 'high'""]";899
3.8147273433294315;"[""heducation != 'moderate-high'"", 'good_media_exposure == True']";1039
3.726209175939756;"[""weducation != 'low-moderate'"", 'good_media_exposure == False']";81
3.6778791855223973;"[""weducation == 'high'"", 'good_media_exposure == True']";571
3.558768771468135;"[""heducation == 'high'"", 'good_media_exposure == True']";873
3.5514906052652235;['wage <= 26.0'];425
3.444109716051523;"[""sol != 'low'"", 'good_media_exposure == True']";1264
3.264603218674349;"[""heducation != 'moderate-high'""]";1121
3.2305919844050655;"[""sol == 'low'""]";129
3.1761034975397524;"[""weducation != 'high'"", 'wismuslim == True']";819
3.0821670111182007;"[""weducation != 'high'"", 'good_media_exposure == True']";793
2.8849000871950685;['wage <= 26.0', 'good_media_exposure == True'];406
2.8540456685997455;"[""heducation == 'moderate-high'"", 'wismuslim == True']";325
2.7349818632286866;"[""weducation != 'high'""]";896
2.666797631762047;"[""sol == 'low'"", 'wismuslim == True']";124
2.414289018195122;"[""heducation == 'moderate-high'""]";352
2.3867756737317527;"[""heducation != 'low'"", 'good_media_exposure == False']";95
2.047402764173981;['wage > 26.0', 'good_media_exposure == True'];958
1.833494611392232;"[""heducation != 'high'"", 'wismuslim == True']";537
1.8042729757868021;['wage > 25.0', 'good_media_exposure == True'];1026
1.7242708181100106;"[""weducation == 'low-moderate'"", 'good_media_exposure == True']";306
1.7010575935710985;"[""heducation != 'high'"", 'good_media_exposure == True']";491
1.65601401699322;"[""heducation != 'high'""]";574
1.6303099856468455;['numborn > 1.0'];1100
1.6098926995757283;"[""heducation == 'high'"", 'wismuslim == False']";183
1.6024465104370382;"[""weducation == 'low-moderate'"", 'wismuslim == True']";312
1.5492191657914032;"[""weducation != 'high'"", 'good_media_exposure == False']";103
1.5385835216945427;['wage > 26.0'];1048
1.4992146094424117;"[""sol != 'high'"", 'good_media_exposure == False']";91
1.44747534566903;['good_media_exposure == False'];109
1.4399001425101583;['wage > 25.0'];1117
1.4100599569053576;['numborn > 1.0', 'good_media_exposure == True'];1006
1.4059205145856728;"[""weducation == 'low-moderate'""]";334
1.31743970715605;"[""weducation == 'low'""]";152
1.253930962053082;"[""sol != 'low-moderate'"", 'good_media_exposure == False']";69
1.2501496652972202;['wage > 26.0', 'good_media_exposure == False'];90
1.2485137125067416;"[""heducation == 'low-moderate'""]";178
1.1512254244925657;['wage > 25.0', 'good_media_exposure == False'];91
1.1496975288254796;['numborn > 3.0'];565
1.0703136295640912;"[""hocc != 'one'"", 'good_media_exposure == False']";96
0.8213147700797667;"[""heducation != 'moderate-high'"", 'good_media_exposure == False']";82
0.7994309554701143;['good_media_exposure == False', 'wismuslim == True'];101
0.7063073758859928;"[""heducation != 'moderate-high'"", 'wismuslim == False']";193
0.6132384547837433;['numborn > 1.0', 'wismuslim == False'];164
0.5499062174964302;['numborn > 1.0', 'wismuslim == True'];936
0.5156419580317073;['numborn > 1.0', 'good_media_exposure == False'];94
0.43114562980511106;"[""heducation != 'low-moderate'"", 'wismuslim == False']";212
0.41262496763518947;"[""heducation == 'low'""]";44
0.339616779133807;"[""sol == 'high'""]";684
0.263074866558474;['wage > 25.0', 'wismuslim == False'];201
0.24178928057084603;"[""weducation != 'low'"", 'wismuslim == False']";217
0.2375437445972311;"[""sol != 'low-moderate'"", 'wismuslim == False']";205
0.23239569712957486;['good_media_exposure == True', 'wismuslim == False'];212
0.23162903521405842;"[""sol != 'low'"", 'wismuslim == False']";215
0.21668396686058078;"[""weducation != 'low-moderate'"", 'wismuslim == False']";198
0.21461199113512341;"[""hocc != 'three'""]";888
0.20026736602128836;"[""heducation != 'low'"", 'wismuslim == False']";218
0.15829154555935032;"[""hocc == 'one'""]";436
0.14369249106618592;['wage > 32.0'];693
0.13802515127299064;['wismuslim == False'];220
0.12963124546497407;['wage > 26.0', 'wismuslim == False'];197
0.09875450414034082;['wage > 28.0'];926
0.08551913002658462;"[""sol == 'low-moderate'""]";229
0.0720572120131393;"[""weducation == 'high'"", 'wismuslim == False']";143
0.045073184635535724;"[""heducation != 'high'"", 'good_media_exposure == False']";83
0.036342281967642;['numborn > 2.0'];824
